NUMERO,corredor,PRIMERA,CALL13,FECHA,F5,F6,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P33A,P33B,P33C,P33D,P33E,P33F,P33G,P33H,P33J,P33K,P33L,P34,P37,P40,P43,P43_1A,P43_1B,P43_1C,P43_1D,P43_1E,P43_1F,P43_1G,P44_1,P44_2,P44_3,P44_4,P44_5,P44_6,P44_7,P44_8,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P30,P31,P32,D1,D2,D3,tramo,corredor_nombre,tamano_empresa,es_mipyme,sector,seguridad_empeoro,fue_victima,indice_satisfaccion,obras_iniciadas
1690,2,14.0,,25/11/2024 1:35:13 p. m.,2,2,2.0,2.0,1.0,0,0,100,0,0,3,4,4,4,3,3,3,1,3,2,3,4,,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,3,2,1,2,18,3,14,Primera Línea Metro,Pequeña,1,Comercio,0,0,3.0833333333333335,0
1691,2,14.0,,25/11/2024 2:38:22 p. m.,2,3,3.0,1.0,,0,0,0,50,50,1,3,3,3,2,3,1,2,3,3,3,3,,5,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,4,1,1,1,30,4,14,Primera Línea Metro,Mediana,1,Comercio,1,0,2.5,0
1692,2,14.0,,25/11/2024 3:06:46 p. m.,2,2,2.0,1.0,1.0,0,0,100,0,0,1,1,1,1,1,3,1,2,2,4,5,3,,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,44,4,14,Primera Línea Metro,Pequeña,1,Comercio,1,1,2.0833333333333335,0
1693,2,14.0,,25/11/2024 3:26:55 p. m.,2,2,2.0,2.0,,0,0,80,20,0,1,1,1,1,1,2,3,1,2,2,3,3,,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,1,3,2,42,3,14,Primera Línea Metro,Pequeña,1,Comercio,1,0,1.75,0
1694,2,14.0,,25/11/2024 3:43:27 p. m.,2,2,2.0,1.0,1.0,0,0,100,0,0,1,1,1,1,2,1,1,1,2,2,2,5,1.0,5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1,1,60,3,14,Primera Línea Metro,Pequeña,1,Comercio,1,1,1.6666666666666667,0
1695,2,14.0,,25/11/2024 4:03:44 p. m.,2,1,1.0,,,100,0,0,0,0,2,2,3,2,2,3,3,3,2,2,1,4,,4,3,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,27,5,14,Primera Línea Metro,Micro,1,Comercio,0,0,2.4166666666666665,0
1696,2,14.0,,25/11/2024 4:28:56 p. m.,2,2,19.0,12.0,13.0,0,30,70,0,0,4,3,3,3,3,2,1,2,2,3,2,3,,3,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,2,42,4,14,Primera Línea Metro,Pequeña,1,Comercio,1,1,2.5833333333333335,0
1697,2,14.0,,25/11/2024 4:56:27 p. m.,2,2,1.0,1.0,,0,0,100,0,0,3,4,4,3,3,3,3,1,1,3,4,5,,5,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,2,26,4,14,Primera Línea Metro,Pequeña,1,Comercio,1,1,3.0833333333333335,0
1698,2,14.0,,25/11/2024 5:20:33 p. m.,2,2,2.0,1.0,,0,0,50,0,50,1,2,3,1,1,3,1,1,2,4,2,3,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,1,1,2,36,4,14,Primera Línea Metro,Pequeña,1,Comercio,0,1,2.0,0
1699,2,14.0,,25/11/2024 5:44:57 p. m.,2,1,1.0,1.0,1.0,0,0,100,0,0,3,1,2,1,3,2,4,1,3,1,2,5,,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,2,22,3,14,Primera Línea Metro,Micro,1,Comercio,1,0,2.3333333333333335,0
