Localidad,UPL,A1,A2,A3,A4,P102,P102_1,P103_1,P106,P111,P203,_Capture_gps_latitude,_Capture_gps_longitude,FEX,anio
11. Suba,9,2,58,7,3,1,4,1,3,3,2,4.7511234,-74.097705,500.511945644308,2025
11. Suba,9,2,34,10,3,1,4,2,2,2,2,4.7517515,-74.0973567,788.7630242040185,2025
6. Tunjuelito,19,2,37,4,2,1,5,1,3,1,2,4.5622096,-74.1264552,173.3532311516059,2025
12. Barrios Unidos,33,1,59,5,4,2,2,3,2,3,2,4.689123411,-74.07007075,106.7997431967313,2025
16. Puente Aranda,31,1,33,3,3,1,2,2,3,3,2,4.60700479,-74.11117894,197.501282670812,2025
2. Chapinero,6,1,49,7,1,2,3,1,3,2,2,4.632672456,-74.05851497,21.15821977079147,2025
2. Chapinero,24,2,37,10,6,2,3,3,2,3,2,4.66897099,-74.04402764,227.6749759211485,2025
6. Tunjuelito,19,1,57,8,3,2,2,1,2,1,1,4.5765161,-74.1393866,65.49566905851637,2025
5. Usme,20,1,27,7,2,2,3,3,1,1,2,4.5121399,-74.115942,260.8761291978457,2025
3. Santa Fe,23,1,37,5,4,1,1,3,2,1,2,4.603313,-74.0705009,103.6863568664839,2025
3. Santa Fe,23,1,21,3,3,1,4,4,2,3,2,4.6030817,-74.070315,84.91304274406204,2025
3. Santa Fe,23,1,34,7,3,2,1,1,3,1,2,4.6031635,-74.0691394,109.8712092751915,2025
3. Santa Fe,23,2,48,5,2,2,3,3,3,2,1,4.6028633,-74.0702483,90.08103198189221,2025
3. Santa Fe,23,2,44,3,3,2,2,3,3,1,2,4.603972,-74.0696527,103.3212102466907,2025
3. Santa Fe,23,1,76,9,3,2,3,3,3,1,2,4.6044283,-74.07006,85.13295058347386,2025
16. Puente Aranda,31,2,25,4,3,2,3,1,3,1,2,4.611574892,-74.10696991,116.5835989403173,2025
8. Kennedy,15,2,81,3,2,1,3,1,2,4,2,4.6357817,-74.1783667,40.24882301704192,2025
8. Kennedy,15,1,28,7,2,2,1,1,3,1,2,4.6362182,-74.17696,34.99536847363554,2025
8. Kennedy,15,2,57,5,2,1,4,1,3,2,2,4.6359034,-74.1774241,23.45940028793128,2025
8. Kennedy,15,2,64,4,2,2,5,4,2,1,2,4.635928,-74.1769543,22.94687862691194,2025
5. Usme,20,1,71,3,1,2,3,1,2,1,2,4.5228865,-74.1234144,131.3938991147657,2025
3. Santa Fe,23,2,24,7,3,1,2,2,2,3,2,4.6034184,-74.0703245,84.59157432449132,2025
3. Santa Fe,23,1,22,7,3,2,2,2,2,2,1,4.6033322,-74.0702791,84.91304274406207,2025
3. Santa Fe,23,2,27,7,3,2,2,2,3,3,2,4.603434,-74.0702603,103.3578987729985,2025
3. Santa Fe,23,2,26,8,3,1,2,2,2,1,2,4.6033863,-74.0702807,103.3578987729985,2025
3. Santa Fe,23,1,27,5,3,2,2,2,3,2,1,4.6033521,-74.0702317,103.7230699239962,2025
3. Santa Fe,23,2,27,8,3,2,2,2,3,3,2,4.6040199,-74.0704172,103.3578987729985,2025
3. Santa Fe,23,1,22,5,3,2,2,2,2,4,2,4.6054967,-74.0694417,129.7330257572966,2025
3. Santa Fe,23,1,23,7,3,2,1,1,3,3,2,4.6033316,-74.0703293,84.91304274406207,2025
3. Santa Fe,23,2,38,8,3,2,2,1,3,3,2,4.6033946,-74.0701815,103.3212102466907,2025
3. Santa Fe,23,2,19,6,4,1,4,3,3,1,1,4.614679813,-74.0643048,64.41394934984586,2025
5. Usme,20,1,24,5,2,2,1,1,3,2,1,4.5159605,-74.1196525,363.5456704469552,2025
11. Suba,10,1,26,5,1,2,3,2,3,2,2,4.75203,-74.1228467,1076.858191857041,2025
11. Suba,10,1,30,5,2,2,2,2,2,3,2,4.7513917,-74.12308,1142.413667257886,2025
11. Suba,10,2,47,5,2,2,2,2,3,1,2,4.751655,-74.12291,933.4880112738069,2025
5. Usme,20,2,57,3,2,1,5,1,3,5,2,4.5100299,-74.1137807,185.1397873608155,2025
5. Usme,20,1,24,5,2,1,4,2,3,3,2,4.5042082,-74.1018371,452.7690260947753,2025
8. Kennedy,16,2,21,5,2,2,3,2,3,1,1,4.6344871,-74.1789121,347.777647726307,2025
8. Kennedy,16,2,28,5,2,1,5,3,2,3,2,4.6208082,-74.1734153,753.2482576557471,2025
8. Kennedy,16,1,57,5,2,2,3,2,3,4,2,4.6341117,-74.1793644,287.1588559961362,2025
8. Kennedy,16,2,53,5,2,2,2,1,3,5,2,4.6339836,-74.1790715,370.3593256379783,2025
8. Kennedy,16,1,56,3,2,2,3,2,3,2,2,4.6342085,-74.1790629,287.1588559961362,2025
11. Suba,28,2,70,3,2,2,2,1,3,2,2,4.7453802,-74.1011242,338.6483057827834,2025
5. Usme,5,2,29,7,1,1,3,1,2,3,2,4.4808004,-74.1220627,241.6404639771494,2025
5. Usme,5,2,28,8,2,1,3,1,2,5,2,4.4806969,-74.1221874,227.556397560555,2025
5. Usme,5,2,74,5,1,1,5,2,3,3,2,4.4807917,-74.1221816,140.7893540067834,2025
5. Usme,5,2,35,5,2,1,5,4,2,1,2,4.480689,-74.122011,241.6404639771494,2025
5. Usme,5,2,36,5,2,1,3,1,3,3,2,4.480581,-74.1227696,227.4729451551316,2025
5. Usme,5,1,23,5,2,1,1,1,3,1,2,4.4805233,-74.1221686,186.4790776315202,2025
5. Usme,5,2,46,3,2,2,3,1,3,1,1,4.4807504,-74.1221075,197.8136819767834,2025
11. Suba,28,1,63,4,3,2,3,1,3,1,2,4.738153491,-74.09188031,310.9018971700581,2025
8. Kennedy,14,1,52,1,2,1,4,1,2,3,2,4.642203,-74.1691468,1225.143506989092,2025
5. Usme,5,1,64,7,2,1,3,3,2,4,2,4.480745,-74.1219983,150.6813450715017,2025
5. Usme,5,2,18,5,2,2,1,1,3,1,2,4.4807217,-74.1217683,185.778419353012,2025
5. Usme,5,2,29,5,2,1,5,1,3,1,2,4.4807,-74.1218683,241.6404639771494,2025
5. Usme,5,1,77,7,2,1,5,1,1,5,2,4.480695,-74.12173,186.9586739448195,2025
5. Usme,5,2,78,1,2,1,5,1,3,1,2,4.480655,-74.1219983,186.2557672361932,2025
5. Usme,5,1,18,5,2,1,3,5,1,3,2,4.4807867,-74.1221283,186.4790776315202,2025
5. Usme,5,1,62,3,1,1,5,1,3,5,2,4.4806563,-74.1221313,150.6813450715017,2025
5. Usme,20,2,56,3,1,2,2,3,2,3,2,4.53854,-74.1131883,188.2355853681256,2025
5. Usme,20,1,65,3,1,2,1,1,3,1,2,4.5391267,-74.1138433,184.8504501353202,2025
5. Usme,20,2,20,5,1,1,3,1,2,1,2,4.5389333,-74.1130333,227.9062774926576,2025
5. Usme,20,2,24,5,1,2,3,4,2,1,2,4.539205,-74.1140317,227.9062774926576,2025
5. Usme,20,1,18,7,1,1,3,3,1,3,2,4.5382588,-74.1133649,228.765819847498,2025
11. Suba,28,2,40,5,2,2,1,1,3,1,2,4.7269325,-74.0957279,421.4502164145999,2025
5. Usme,5,1,36,7,2,1,3,3,2,1,2,4.4807112,-74.1220997,228.3038312479165,2025
5. Usme,5,1,25,5,1,1,3,1,2,2,2,4.4807119,-74.1221061,228.3874102888824,2025
5. Usme,5,2,20,5,2,1,3,3,2,1,2,4.480733,-74.1220635,185.778419353012,2025
5. Usme,5,1,83,5,2,1,5,1,3,1,2,4.480675,-74.12203,264.6417689748148,2025
5. Usme,5,1,62,3,2,1,4,1,3,1,2,4.4806817,-74.1219817,150.6813450715017,2025
5. Usme,5,2,44,4,1,2,3,4,1,1,2,4.4807026,-74.1220917,227.4729451551316,2025
2. Chapinero,23,1,63,10,4,1,3,3,3,3,2,4.630124385,-74.06236503,48.10242042716206,2025
