ANIO,NOMBRE_UPZ,NOMBRE_LOCALIDAD,total_comparendos,comparendos_seguridad,tasa_seguridad
2025,SIN LOCALIZACION,BOSA,405,1616.0,3.9901234567901236
2025,SIN LOCALIZACION,CANDELARIA,167,1616.0,9.676646706586826
2025,SIN LOCALIZACION,CHAPINERO,242,1616.0,6.677685950413223
2025,SIN LOCALIZACION,CIUDAD BOLIVAR,203,1616.0,7.960591133004926
2025,SIN LOCALIZACION,ENGATIVA,394,1616.0,4.101522842639594
2025,SIN LOCALIZACION,FONTIBON,51,1616.0,31.686274509803923
2025,SIN LOCALIZACION,KENNEDY,521,1616.0,3.1017274472168905
2025,SIN LOCALIZACION,LOS MARTIRES,355,1616.0,4.552112676056338
2025,SIN LOCALIZACION,PUENTE ARANDA,134,1616.0,12.059701492537313
2025,SIN LOCALIZACION,RAFAEL URIBE URIBE,180,1616.0,8.977777777777778
2025,SIN LOCALIZACION,SAN CRISTOBAL,123,1616.0,13.138211382113822
2025,SIN LOCALIZACION,SANTA FE,493,1616.0,3.2778904665314403
2025,SIN LOCALIZACION,SUBA,411,1616.0,3.931873479318735
2025,SIN LOCALIZACION,TEUSAQUILLO,223,1616.0,7.246636771300448
2025,SIN LOCALIZACION,TUNJUELITO,120,1616.0,13.466666666666667
2025,SIN LOCALIZACION,USAQUEN,151,1616.0,10.701986754966887
2025,SIN LOCALIZACION,USME,199,1616.0,8.120603015075377
2025,SIN UPZ CHAPINERO,CHAPINERO,509,261.0,0.5127701375245579
2025,SIN UPZ RAFAEL URIBE URIBE,RAFAEL URIBE URIBE,142,75.0,0.528169014084507
2025,SIN UPZ SAN CRISTOBAL,SAN CRISTOBAL,29,16.0,0.5517241379310345
2025,SIN UPZ SANTA FE,SANTA FE,51,28.0,0.5490196078431373
2025,SIN UPZ SUBA,SUBA,26,5.0,0.19230769230769232
2025,SIN UPZ USAQUEN,USAQUEN,89,45.0,0.5056179775280899
2025,SIN UPZ USME,USME,126,77.0,0.6111111111111112
2025,SOSIEGO,SAN CRISTOBAL,3145,1632.0,0.518918918918919
2025,SUBA,SUBA,15547,2291.0,0.14735961921914195
2025,TEUSAQUILLO,TEUSAQUILLO,7305,2042.0,0.27953456536618754
2025,TIBABUYES,SUBA,7760,3241.0,0.41765463917525775
2025,TIMIZA,KENNEDY,2659,1497.0,0.5629936066190298
2025,TINTAL NORTE,KENNEDY,308,175.0,0.5681818181818182
2025,TINTAL SUR,BOSA,3737,1776.0,0.4752475247524752
2025,TOBERIN,USAQUEN,2803,405.0,0.14448804851944344
2025,TUNJUELITO,TUNJUELITO,2644,1300.0,0.491679273827534
2025,UPR RIO BLANCO,SUMAPAZ,1,1.0,1.0
2025,UPR RIO TUNJUELO,CIUDAD BOLIVAR,898,458.0,0.5100222717149221
2025,UPR ZONA NORTE,SUBA,406,244.0,0.6009852216748769
2025,USAQUEN,USAQUEN,1456,343.0,0.23557692307692307
2025,VENECIA,TUNJUELITO,13634,4947.0,0.3628428927680798
2025,VERBENAL,USAQUEN,3257,1156.0,0.354927847712619
2025,ZONA FRANCA,FONTIBON,929,505.0,0.5435952637244349
2025,ZONA INDUSTRIAL,PUENTE ARANDA,7111,1285.0,0.18070594853044578
