NUMERO,corredor,FECHA,F5,F6,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P33A,P33B,P33C,P33D,P33E,P33F,P33G,P33H,P33J,P33K,P33L,P34,P37,P40,P43,P43_1A,P43_1B,P43_1C,P43_1D,P43_1E,P43_1F,P43_1G,P44_1,P44_2,P44_3,P44_4,P44_5,P44_6,P44_7,P44_8,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P30,P31,P32,D1,D2,D3,tramo,corredor_nombre,tamano_empresa,es_mipyme,seguridad_empeoro,fue_victima,indice_satisfaccion
377,2,9/10/2024 12:31:47 p. m.,2,3,2.0,2.0,1.0,100,0,0,0,0,3,1,3,3,1,4,1,2,5,4,4,3,3,4,2,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,,2,3,,,,7,1,1,1,2,22,4,5,Primera Línea Metro,Mediana,1,1,0,2.8333333333333335
378,2,9/10/2024 12:05:27 p. m.,2,1,2.0,1.0,,100,0,0,0,0,3,3,3,3,3,3,3,3,3,3,1,3,1,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,,,3,4,,,7,1,1,1,1,42,3,5,Primera Línea Metro,Micro,1,1,0,2.8333333333333335
379,2,9/10/2024 12:02:57 p. m.,3,2,1.0,,,0,100,0,0,0,2,1,3,1,1,1,1,2,2,1,1,3,3,5,2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,,,3,,,6,7,5,5,4,1,35,3,5,Primera Línea Metro,Pequeña,1,1,1,1.5833333333333333
380,1,9/10/2024 12:28:42 p. m.,2,4,20.0,9.0,10.0,0,0,100,0,0,3,4,5,5,5,4,4,4,5,2,3,5,93,5,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,,,3,4,,,,3,1,1,2,37,4,19,Calle 13,Grande,0,0,1,4.083333333333333
381,1,9/10/2024 1:10:23 p. m.,2,3,5.0,4.0,2.0,0,0,100,0,0,1,3,3,3,4,3,3,3,3,5,4,3,93,3,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,1,,,,,6,,1,1,1,2,40,4,19,Calle 13,Mediana,1,0,0,3.1666666666666665
382,2,9/10/2024 1:15:41 p. m.,2,1,1.0,1.0,1.0,0,0,0,0,100,5,5,3,3,1,1,1,3,1,3,1,1,3,1,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,,2,,4,5,,,1,1,1,3,30,6,5,Primera Línea Metro,Micro,1,0,1,2.3333333333333335
383,1,9/10/2024 1:39:19 p. m.,2,3,2.0,2.0,1.0,0,0,100,0,0,1,1,1,3,2,3,1,3,1,4,3,3,3,5,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,,2,3,4,,,,3,1,1,2,51,4,19,Calle 13,Mediana,1,1,0,2.1666666666666665
384,2,9/10/2024 2:00:18 p. m.,2,2,4.0,1.0,4.0,0,0,100,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,,2,3,,,,,3,3,3,2,23,3,16,Primera Línea Metro,Pequeña,1,1,1,1.0
385,2,9/10/2024 2:30:09 p. m.,3,2,1.0,1.0,,0,0,0,0,100,1,1,3,2,3,2,2,4,2,1,3,4,2,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0,1,1,0,,2,3,4,,,,5,1,1,2,27,4,5,Primera Línea Metro,Pequeña,1,1,1,2.3333333333333335
386,2,9/10/2024 2:26:34 p. m.,2,2,1.0,1.0,,0,100,0,0,0,1,3,1,4,1,1,1,1,1,1,1,1,5,5,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,,,3,4,,,7,5,5,5,2,49,3,5,Primera Línea Metro,Pequeña,1,0,0,1.4166666666666667
